mtc,id,diagnostic,type2,type1
341.3050219,FA 21:0 +1O,FA 21:0 +1O,fatty_acid,frag
357.2999365,FA 21:0 +2O,FA 21:0 +2O,fatty_acid,frag
373.2948512,FA 21:0 +3O,FA 21:0 +3O,fatty_acid,frag
323.2944572,FA 21:1,FA 21:1,fatty_acid,frag
339.2893718,FA 21:1 +1O,FA 21:1 +1O,fatty_acid,frag
355.2842865,FA 21:1 +2O,FA 21:1 +2O,fatty_acid,frag
371.2792011,FA 21:1 +3O,FA 21:1 +3O,fatty_acid,frag
321.2788071,FA 21:2,FA 21:2,fatty_acid,frag
337.2737218,FA 21:2 +1O,FA 21:2 +1O,fatty_acid,frag
353.2686364,FA 21:2 +2O,FA 21:2 +2O,fatty_acid,frag
369.263551,FA 21:2 +3O,FA 21:2 +3O,fatty_acid,frag
319.2631571,FA 21:3,FA 21:3,fatty_acid,frag
335.2580717,FA 21:3 +1O,FA 21:3 +1O,fatty_acid,frag
351.2529863,FA 21:3 +2O,FA 21:3 +2O,fatty_acid,frag
367.2479009,FA 21:3 +3O,FA 21:3 +3O,fatty_acid,frag
317.247507,FA 21:4,FA 21:4,fatty_acid,frag
333.2424216,FA 21:4 +1O,FA 21:4 +1O,fatty_acid,frag
349.2373362,FA 21:4 +2O,FA 21:4 +2O,fatty_acid,frag
365.2322508,FA 21:4 +3O,FA 21:4 +3O,fatty_acid,frag
339.3257574,FA 22:0,FA 22:0,fatty_acid,frag
355.320672,FA 22:0 +1O,FA 22:0 +1O,fatty_acid,frag
371.3155866,FA 22:0 +2O,FA 22:0 +2O,fatty_acid,frag
387.3105012,FA 22:0 +3O,FA 22:0 +3O,fatty_acid,frag
337.3101073,FA 22:1,FA 22:1,fatty_acid,frag
353.3050219,FA 22:1 +1O,FA 22:1 +1O,fatty_acid,frag
369.2999365,FA 22:1 +2O,FA 22:1 +2O,fatty_acid,frag
385.2948512,FA 22:1 +3O,FA 22:1 +3O,fatty_acid,frag
335.2944572,FA 22:2,FA 22:2,fatty_acid,frag
351.2893718,FA 22:2 +1O,FA 22:2 +1O,fatty_acid,frag
