mass,id,diagnostic,type2,type1
342.3128519,FA 21:0 +1O,FA 21:0 +1O,fatty_acid,nl
358.3077665,FA 21:0 +2O,FA 21:0 +2O,fatty_acid,nl
374.3026812,FA 21:0 +3O,FA 21:0 +3O,fatty_acid,nl
324.3022872,FA 21:1,FA 21:1,fatty_acid,nl
340.2972018,FA 21:1 +1O,FA 21:1 +1O,fatty_acid,nl
356.2921165,FA 21:1 +2O,FA 21:1 +2O,fatty_acid,nl
372.2870311,FA 21:1 +3O,FA 21:1 +3O,fatty_acid,nl
322.2866371,FA 21:2,FA 21:2,fatty_acid,nl
338.2815518,FA 21:2 +1O,FA 21:2 +1O,fatty_acid,nl
354.2764664,FA 21:2 +2O,FA 21:2 +2O,fatty_acid,nl
370.271381,FA 21:2 +3O,FA 21:2 +3O,fatty_acid,nl
320.2709871,FA 21:3,FA 21:3,fatty_acid,nl
336.2659017,FA 21:3 +1O,FA 21:3 +1O,fatty_acid,nl
352.2608163,FA 21:3 +2O,FA 21:3 +2O,fatty_acid,nl
368.2557309,FA 21:3 +3O,FA 21:3 +3O,fatty_acid,nl
318.255337,FA 21:4,FA 21:4,fatty_acid,nl
334.2502516,FA 21:4 +1O,FA 21:4 +1O,fatty_acid,nl
350.2451662,FA 21:4 +2O,FA 21:4 +2O,fatty_acid,nl
366.2400808,FA 21:4 +3O,FA 21:4 +3O,fatty_acid,nl
340.3335874,FA 22:0,FA 22:0,fatty_acid,nl
356.328502,FA 22:0 +1O,FA 22:0 +1O,fatty_acid,nl
372.3234166,FA 22:0 +2O,FA 22:0 +2O,fatty_acid,nl
388.3183312,FA 22:0 +3O,FA 22:0 +3O,fatty_acid,nl
338.3179373,FA 22:1,FA 22:1,fatty_acid,nl
354.3128519,FA 22:1 +1O,FA 22:1 +1O,fatty_acid,nl
370.3077665,FA 22:1 +2O,FA 22:1 +2O,fatty_acid,nl
386.3026812,FA 22:1 +3O,FA 22:1 +3O,fatty_acid,nl
336.3022872,FA 22:2,FA 22:2,fatty_acid,nl
352.2972018,FA 22:2 +1O,FA 22:2 +1O,fatty_acid,nl
368.2921165,FA 22:2 +2O,FA 22:2 +2O,fatty_acid,nl
384.2870311,FA 22:2 +3O,FA 22:2 +3O,fatty_acid,nl
334.2866371,FA 22:3,FA 22:3,fatty_acid,nl
350.2815518,FA 22:3 +1O,FA 22:3 +1O,fatty_acid,nl
366.2764664,FA 22:3 +2O,FA 22:3 +2O,fatty_acid,nl
382.271381,FA 22:3 +3O,FA 22:3 +3O,fatty_acid,nl
332.2709871,FA 22:4,FA 22:4,fatty_acid,nl
348.2659017,FA 22:4 +1O,FA 22:4 +1O,fatty_acid,nl
364.2608163,FA 22:4 +2O,FA 22:4 +2O,fatty_acid,nl
380.2557309,FA 22:4 +3O,FA 22:4 +3O,fatty_acid,nl
330.255337,FA 22:5,FA 22:5,fatty_acid,nl
346.2502516,FA 22:5 +1O,FA 22:5 +1O,fatty_acid,nl
362.2451662,FA 22:5 +2O,FA 22:5 +2O,fatty_acid,nl
378.2400808,FA 22:5 +3O,FA 22:5 +3O,fatty_acid,nl
354.3492375,FA 23:0,FA 23:0,fatty_acid,nl
370.3441521,FA 23:0 +1O,FA 23:0 +1O,fatty_acid,nl
386.3390667,FA 23:0 +2O,FA 23:0 +2O,fatty_acid,nl
402.3339813,FA 23:0 +3O,FA 23:0 +3O,fatty_acid,nl
352.3335874,FA 23:1,FA 23:1,fatty_acid,nl
368.328502,FA 23:1 +1O,FA 23:1 +1O,fatty_acid,nl
384.3234166,FA 23:1 +2O,FA 23:1 +2O,fatty_acid,nl
400.3183312,FA 23:1 +3O,FA 23:1 +3O,fatty_acid,nl
350.3179373,FA 23:2,FA 23:2,fatty_acid,nl
366.3128519,FA 23:2 +1O,FA 23:2 +1O,fatty_acid,nl
382.3077665,FA 23:2 +2O,FA 23:2 +2O,fatty_acid,nl
398.3026812,FA 23:2 +3O,FA 23:2 +3O,fatty_acid,nl
348.3022872,FA 23:3,FA 23:3,fatty_acid,nl
